Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-03-07 00:00:00,168.825,168.85,168.8,168.82,1831
2024-03-07 00:01:00,168.85,168.85,168.8,168.85,428
2024-03-07 00:02:00,168.85,168.86,168.83,168.83,1454
2024-03-07 00:03:00,168.83,168.89,168.82,168.83,615
2024-03-07 00:04:00,168.84,168.89,168.8,168.85,294
2024-03-07 00:05:00,168.84,168.9,168.83,168.9,172
2024-03-07 00:06:00,168.83,168.91,168.83,168.91,587
2024-03-07 00:07:00,168.87,168.91,168.84,168.91,209
2024-03-07 00:08:00,168.84,168.91,168.83,168.84,989
2024-03-07 00:09:00,168.84,168.89,168.82,168.84,125
2024-03-07 00:10:00,168.88,168.9,168.83,168.87,373
2024-03-07 00:11:00,168.855,168.88,168.82,168.88,574
2024-03-07 00:12:00,168.83,168.87,168.82,168.85,1159
2024-03-07 00:13:00,168.82,168.87,168.8198,168.82,761
2024-03-07 00:14:00,168.815,168.82,168.785,168.82,3366
2024-03-07 00:15:00,168.82,168.82,168.77,168.805,842
2024-03-07 00:16:00,168.82,168.82,168.73,168.73,1165
2024-03-07 00:17:00,168.8,168.82,168.71,168.785,798
2024-03-07 00:18:00,168.785,168.82,168.75,168.75,128
2024-03-07 00:19:00,168.81,168.82,168.75,168.785,255
2024-03-07 00:20:00,168.82,168.82,168.69,168.79,1888
2024-03-07 00:21:00,168.79,168.79,168.68,168.68,1864
2024-03-07 00:22:00,168.74,168.79,168.62,168.74,2649
2024-03-07 00:23:00,168.69,168.69,168.6,168.605,3913
2024-03-07 00:24:00,168.6,168.78,168.6,168.6,996
2024-03-07 00:25:00,168.675,168.75,168.6,168.62,289
2024-03-07 00:26:00,168.65,168.7,168.62,168.68,1274
2024-03-07 00:27:00,168.7,168.7,168.6,168.64,991
2024-03-07 00:28:00,168.69,168.69,168.6,168.68,550
2024-03-07 00:29:00,168.68,168.68,168.6,168.61,812
2024-03-07 00:30:00,168.68,168.69,168.6,168.69,692
2024-03-07 00:31:00,168.63,168.66,168.56,168.63,1905
2024-03-07 00:32:00,168.62,168.69,168.56,168.63,1054
2024-03-07 00:33:00,168.68,168.68,168.56,168.56,632
2024-03-07 00:34:00,168.605,168.63,168.56,168.63,604
2024-03-07 00:35:00,168.595,168.65,168.58,168.59,1496
2024-03-07 00:36:00,168.6,168.65,168.59,168.6,748
2024-03-07 00:37:00,168.6,168.69,168.59,168.66,598
2024-03-07 00:38:00,168.68,168.68,168.61,168.61,2354
2024-03-07 00:39:00,168.64,168.68,168.6,168.6,962
2024-03-07 00:40:00,168.6,168.67,168.6,168.6,451
2024-03-07 00:41:00,168.63,168.67,168.6,168.6,888
2024-03-07 00:42:00,168.635,168.65,168.6,168.6,324
2024-03-07 00:43:00,168.65,168.67,168.65,168.67,2079
2024-03-07 00:44:00,168.65,168.68,168.6,168.6,841
2024-03-07 00:45:00,168.64,168.67,168.6,168.61,535
2024-03-07 00:46:00,168.6,168.65,168.5,168.59,6188
2024-03-07 00:47:00,168.59,168.59,168.5,168.55,6907
2024-03-07 00:48:00,168.51,168.56,168.4,168.49,2712
2024-03-07 00:49:00,168.49,168.5,168.4,168.5,941
2024-03-07 00:50:00,168.5,168.54,168.45,168.54,720
2024-03-07 00:51:00,168.54,168.55,168.45,168.5,692
2024-03-07 00:52:00,168.55,168.58,168.49,168.58,3631
2024-03-07 00:53:00,168.55,168.58,168.5,168.525,2285
