,Instrument,Earnings before Interest & Taxes (EBIT),Period End Date,Calc Date
0,GOOG.O,74842000000,2022-12-31,2023-02-02
1,GOOG.O,74721000000,2023-03-31,2023-04-25
2,GOOG.O,77176000000,2023-06-30,2023-07-25
3,GOOG.O,81486000000,2023-09-30,2023-10-24
4,GOOG.O,88226000000,2023-12-31,2024-01-30
5,GOOG.O,94441000000,2024-03-31,2024-04-25
