,Instrument,Earnings before Interest & Taxes (EBIT),Period End Date,Calc Date
0,AAPL.O,113965000000,2022-12-31,2023-02-02
1,AAPL.O,112304000000,2023-04-01,2023-05-04
2,AAPL.O,112226000000,2023-07-01,2023-08-03
3,AAPL.O,114301000000,2023-09-30,2023-11-02
4,AAPL.O,118658000000,2023-12-30,2024-02-01
5,AAPL.O,118240000000,2024-03-30,2024-05-02
